group_id,category,_id
HIGH_00052,HIGH,224896
HIGH_00052,HIGH,271035
HIGH_00052,HIGH,304858
HIGH_00052,HIGH,311387
HIGH_00052,HIGH,450320
HIGH_00053,HIGH,4764
HIGH_00053,HIGH,17951
HIGH_00053,HIGH,32907
HIGH_00053,HIGH,33286
HIGH_00053,HIGH,44801
HIGH_00053,HIGH,100045
HIGH_00053,HIGH,223258
HIGH_00053,HIGH,255577
HIGH_00054,HIGH,51237
HIGH_00054,HIGH,57922
HIGH_00054,HIGH,59167
HIGH_00054,HIGH,62919
HIGH_00054,HIGH,124983
HIGH_00054,HIGH,141449
HIGH_00054,HIGH,205356
HIGH_00054,HIGH,221347
HIGH_00054,HIGH,380463
HIGH_00055,HIGH,7198
HIGH_00055,HIGH,83428
HIGH_00055,HIGH,147822
HIGH_00055,HIGH,186542
HIGH_00055,HIGH,275200
HIGH_00055,HIGH,333933
HIGH_00055,HIGH,369869
HIGH_00055,HIGH,455314
HIGH_00056,HIGH,15242
HIGH_00056,HIGH,19515
HIGH_00056,HIGH,28034
HIGH_00056,HIGH,51051
HIGH_00056,HIGH,83666
HIGH_00056,HIGH,193487
HIGH_00056,HIGH,304141
HIGH_00056,HIGH,377923
HIGH_00057,HIGH,197076
HIGH_00057,HIGH,198508
HIGH_00057,HIGH,201621
HIGH_00057,HIGH,206508
HIGH_00057,HIGH,214665
HIGH_00057,HIGH,227300
HIGH_00057,HIGH,229372
HIGH_00057,HIGH,229631
HIGH_00057,HIGH,238136
HIGH_00057,HIGH,246906
HIGH_00057,HIGH,259927
HIGH_00057,HIGH,263828
HIGH_00057,HIGH,267497
HIGH_00057,HIGH,275049
HIGH_00057,HIGH,426853
HIGH_00058,HIGH,27290
HIGH_00058,HIGH,35993
HIGH_00058,HIGH,107134
HIGH_00058,HIGH,125966
HIGH_00058,HIGH,283587
HIGH_00058,HIGH,364377
HIGH_00058,HIGH,504586
HIGH_00059,HIGH,20515
HIGH_00059,HIGH,58266
HIGH_00059,HIGH,119606
HIGH_00059,HIGH,161653
HIGH_00059,HIGH,162647
HIGH_00059,HIGH,180612
HIGH_00059,HIGH,314999
HIGH_00059,HIGH,334904
HIGH_00059,HIGH,356223
HIGH_00059,HIGH,453510
HIGH_00059,HIGH,469074
HIGH_00059,HIGH,513923
HIGH_00059,HIGH,526895
HIGH_00059,HIGH,544468
HIGH_00060,HIGH,24246
HIGH_00060,HIGH,30963
HIGH_00060,HIGH,49210
HIGH_00060,HIGH,55092
HIGH_00060,HIGH,64019
HIGH_00060,HIGH,66767
HIGH_00060,HIGH,78252
HIGH_00060,HIGH,179172
HIGH_00060,HIGH,320200
HIGH_00060,HIGH,390989
HIGH_00060,HIGH,400647
HIGH_00060,HIGH,406633
HIGH_00060,HIGH,411840
HIGH_00060,HIGH,448180
HIGH_00060,HIGH,528630
HIGH_00061,HIGH,70496
HIGH_00061,HIGH,80930
HIGH_00061,HIGH,84852
HIGH_00061,HIGH,85939
HIGH_00061,HIGH,92449
HIGH_00061,HIGH,119489
HIGH_00061,HIGH,126725
HIGH_00061,HIGH,209908
HIGH_00061,HIGH,214000
HIGH_00061,HIGH,225444
HIGH_00061,HIGH,240903
HIGH_00061,HIGH,242454
HIGH_00061,HIGH,320136
HIGH_00061,HIGH,438885
HIGH_00061,HIGH,452088
HIGH_00062,HIGH,70763
HIGH_00062,HIGH,126283
HIGH_00062,HIGH,130641
HIGH_00062,HIGH,142670
HIGH_00062,HIGH,173094
HIGH_00062,HIGH,340790
HIGH_00062,HIGH,380389
HIGH_00062,HIGH,405064
HIGH_00062,HIGH,472223
HIGH_00062,HIGH,484290
HIGH_00062,HIGH,497328
HIGH_00062,HIGH,533034
HIGH_00062,HIGH,544089
HIGH_00062,HIGH,560472
HIGH_00062,HIGH,564207
HIGH_00063,HIGH,203870
HIGH_00063,HIGH,224798
HIGH_00063,HIGH,245478
HIGH_00063,HIGH,246594
HIGH_00063,HIGH,259296
HIGH_00063,HIGH,270140
HIGH_00063,HIGH,275729
HIGH_00063,HIGH,300500
HIGH_00063,HIGH,303348
HIGH_00063,HIGH,319197
HIGH_00063,HIGH,325805
HIGH_00063,HIGH,347712
HIGH_00063,HIGH,419994
HIGH_00063,HIGH,513274
HIGH_00063,HIGH,529112
HIGH_00064,HIGH,61449
HIGH_00064,HIGH,62863
HIGH_00064,HIGH,65382
HIGH_00064,HIGH,86665
HIGH_00064,HIGH,213426
HIGH_00064,HIGH,220535
HIGH_00064,HIGH,293335
HIGH_00064,HIGH,299222
HIGH_00064,HIGH,302251
HIGH_00064,HIGH,303169
HIGH_00064,HIGH,309364
HIGH_00064,HIGH,329480
HIGH_00064,HIGH,350957
HIGH_00064,HIGH,358110
HIGH_00064,HIGH,361464
HIGH_00065,HIGH,14018
HIGH_00065,HIGH,16977
HIGH_00065,HIGH,38874
HIGH_00065,HIGH,42352
HIGH_00065,HIGH,115136
HIGH_00065,HIGH,215584
HIGH_00065,HIGH,232900
HIGH_00065,HIGH,278457
HIGH_00065,HIGH,284775
HIGH_00065,HIGH,314875
HIGH_00065,HIGH,368390
HIGH_00065,HIGH,445678
HIGH_00065,HIGH,491239
HIGH_00065,HIGH,526274
HIGH_00065,HIGH,550012
HIGH_00066,HIGH,38673
HIGH_00066,HIGH,52522
HIGH_00066,HIGH,56242
HIGH_00066,HIGH,105879
HIGH_00066,HIGH,235259
HIGH_00066,HIGH,304297
HIGH_00066,HIGH,304850
HIGH_00066,HIGH,360704
HIGH_00066,HIGH,362550
HIGH_00066,HIGH,370565
HIGH_00066,HIGH,423766
HIGH_00067,HIGH,64265
HIGH_00067,HIGH,166017
HIGH_00067,HIGH,277117
HIGH_00067,HIGH,283172
HIGH_00067,HIGH,291710
HIGH_00067,HIGH,318938
HIGH_00067,HIGH,320155
HIGH_00067,HIGH,322287
HIGH_00067,HIGH,413581
HIGH_00067,HIGH,566711
HIGH_00068,HIGH,4208
HIGH_00068,HIGH,15126
HIGH_00068,HIGH,26863
HIGH_00068,HIGH,75504
HIGH_00068,HIGH,77643
HIGH_00068,HIGH,90553
HIGH_00068,HIGH,93968
HIGH_00068,HIGH,185150
HIGH_00068,HIGH,191288
HIGH_00068,HIGH,196049
HIGH_00068,HIGH,221170
HIGH_00068,HIGH,327498
HIGH_00068,HIGH,334549
HIGH_00068,HIGH,345424
HIGH_00068,HIGH,509289
HIGH_00069,HIGH,36721
HIGH_00069,HIGH,63136
HIGH_00069,HIGH,400359
HIGH_00069,HIGH,457495
HIGH_00069,HIGH,553055
HIGH_00070,HIGH,10829
HIGH_00070,HIGH,33384
HIGH_00070,HIGH,36421
HIGH_00070,HIGH,85568
HIGH_00070,HIGH,221905
HIGH_00070,HIGH,227282
HIGH_00070,HIGH,453011
HIGH_00070,HIGH,527714
HIGH_00071,HIGH,58569
HIGH_00071,HIGH,118977
HIGH_00071,HIGH,352594
HIGH_00071,HIGH,364219
HIGH_00071,HIGH,365262
HIGH_00071,HIGH,418145
HIGH_00071,HIGH,486655
HIGH_00072,HIGH,7573
HIGH_00072,HIGH,10634
HIGH_00072,HIGH,18856
HIGH_00072,HIGH,23635
HIGH_00072,HIGH,28143
HIGH_00072,HIGH,45983
HIGH_00072,HIGH,59948
HIGH_00072,HIGH,88642
HIGH_00072,HIGH,166696
HIGH_00072,HIGH,209236
HIGH_00072,HIGH,209492
HIGH_00072,HIGH,211537
HIGH_00072,HIGH,281275
HIGH_00072,HIGH,358350
HIGH_00072,HIGH,515527
HIGH_00073,HIGH,107529
HIGH_00073,HIGH,109516
HIGH_00073,HIGH,131452
HIGH_00073,HIGH,173093
HIGH_00073,HIGH,196210
HIGH_00073,HIGH,253818
HIGH_00073,HIGH,302302
HIGH_00073,HIGH,330053
